Time,bcglpid01,bcglpiw01,bcocpl01,bcocpl02,bcocpl41,bcocpl42,bcpxkv01,bcpxkv02,bcpxkv03,bcrepo01
2022-01-03T06:40:00+07:00,0,0,0.005,0,0.11,0,0,0,0.05,0.005
2022-01-03T07:00:00+07:00,0.005,0.005,0,0,0,0,0,0.0075,0,0.01
2022-01-03T07:20:00+07:00,0,0,0,0,0,0.035,0.035,0.0075,0,0.04
2022-01-03T07:40:00+07:00,0,0,0.02,0,0,0.035,0.0075,0,0,0
2022-01-03T08:00:00+07:00,0,0.03,0,0,0.01,0,0,0,0,0
2022-01-03T08:20:00+07:00,0,0.03,0,0,0,0,0.01,0.01,0.0075,0.02
2022-01-03T08:40:00+07:00,0,0,0,0,0,0,0,0,0,0.015
2022-01-03T09:00:00+07:00,0,0,0,0,0,0,0,0,0.0075,0
2022-01-03T09:20:00+07:00,0,0,0.185,0,0,0,0.0025,0.0125,0,0
2022-01-03T09:40:00+07:00,0,0,0.005,0,0,0,0.015,0.0425,0,0.01
2022-01-03T10:00:00+07:00,0,0,0,0,0,0,0.005,0.01,0.005,0.04
2022-01-03T10:20:00+07:00,0,0,0,0,0,0,0.0025,0,0.0025,0.01
2022-01-03T10:40:00+07:00,0,0,0,0,0,0,0.05,0,0.005,0.025
2022-01-03T11:00:00+07:00,0,0,0,0,0,0,0.015,0,0,0.04
2022-01-03T11:20:00+07:00,0,0,0.005,0,0,0.02,0,0,0,0.02
2022-01-03T11:40:00+07:00,0,0,0.06,0,0,0,0.005,0.01,0,0
2022-01-03T12:00:00+07:00,0,0,0,0,0,0,0.015,0,0.0025,0.015
2022-01-03T12:20:00+07:00,0,0,0,0.005,0.005,0,0.005,0,0.005,0.015
2022-01-03T12:40:00+07:00,0,0,0.085,0,0,0,0,0,0.0025,0.005
2022-01-03T13:00:00+07:00,0,0,0,0,0,0,0,0,0,0.005
2022-01-03T13:20:00+07:00,0,0,0.02,0,0.005,0,0.0175,0,0.0025,0
2022-01-03T13:40:00+07:00,0,0,0.03,0,0,0,0.015,0,0.055,0
2022-01-03T14:00:00+07:00,0,0,0.02,0,0,0,0.005,0,0,0.04
2022-01-03T14:20:00+07:00,0,0,0.01,0,0,0,0,0,0,0.02
2022-01-03T14:40:00+07:00,0,0,0,0,0,0,0.02,0,0.0625,0
2022-01-03T15:00:00+07:00,0,0,0,0,0,0,0,0.0275,0.0525,0.02
2022-01-03T15:20:00+07:00,0.001666667,0,0,0,0,0.015,0,0,0.0025,0
2022-01-03T15:40:00+07:00,0,0,0.01,0,0,0,0,0.0025,0,0.005
2022-01-03T16:00:00+07:00,0,0,0,0,0,0,0.005,0.0025,0.0175,0.035
2022-01-03T16:20:00+07:00,0,0,0.015,0,0,0,0.025,0.015,0,0.02
2022-01-03T16:40:00+07:00,0,0,0,0,0,0.035,0,0.005,0.0075,0.025
2022-01-03T17:00:00+07:00,0,0,0.005,0,0,0,0,0,0.0025,0.035
2022-01-03T17:20:00+07:00,0,0,0,0,0,0,0,0,0.0025,0
2022-01-03T17:40:00+07:00,0,0,0.055,0,0,0,0.0025,0.01,0.01,0
2022-01-03T18:00:00+07:00,0.016666667,0,0,0,0,0,0.01,0.0525,0.0075,0
2022-01-03T18:20:00+07:00,0,0,0,0,0.005,0,0,0.0075,0.01,0.035
